sede_id,sede_desc_ingles,pais_iso_3,pais_ingles,ciudad_ingles,estado,sede_tipo
EPNMA,Embassy  in  Panama,PAN,REPUBLIC  OF  PANAMA,Panama,Activo,Embajada
EPOLO,Embassy  in  Poland,POL,REPUBLIC  OF  POLAND,Warsaw,Activo,Embajada
EPORT,Embassy  in  Portugal,PRT,PORTUGUESE  REPUBLIC,Lisbon,Activo,Embajada
EQATR,Embassy  in  Qatar,QAT,STATE  OF  QATAR,Doha,Activo,Embajada
ERICA,Embassy  in  Costa  Rica,CRI,REPUBLIC  OF  COSTA  RICA,San  Jose,Activo,Embajada
ERUMA,Embassy  in  Romania,ROU,ROMANIA,Bucarest,Activo,Embajada
ERUNI,Embassy  in  United  Kingdom,GRB,UNITED  KINGDOM  OF  GREAT  BRITAIN  AND  NORTHERN  IRELAND,London  ,Activo,Embajada
ESAFR,Embassy  in  South  Africa,ZAF,REPUBLIC  OF  SOUTH  AFRICA,Pretoria,Activo,Embajada
ESALV,Embassy  in  El  Salvador,SLV,REPUBLIC  OF  EL  SALVADOR,San  Salvador,Activo,Embajada
ESENE,Embassy  in  Senegal,SEN,REPUBLIC  OF  SENEGAL,Dakar,Activo,Embajada
ESERB,Embassy  in  Serbia,SRB,REPUBLIC  OF  SERBIA,Belgrad,Activo,Embajada
ESING,Embassy  in  Singapore,SGP,REPUBLIC  OF  SINGAPORE,Singapore,Activo,Embajada
ESSED,Representation  to  the  Holy  See,VAT,VATICAN  CITY  STATE,Rome,Activo,Embajada
ESUEC,Embassy  in  Sweden,SWE,KINGDOM  OF  SWEDEN,Stockholm,Activo,Embajada
ESUIZ,Embassy  in  Switzerland,CHE,SWISS  CONFEDERATION,Bern,Activo,Embajada
ESURI,Embassy  in  Suriname,SUR,REPUBLIC  OF  SURINAME,Paramaribo,Activo,Embajada
ETAIL,Embassy  in  Thailand,THA,KINGDOM  OF  THAILAND,Bangkok,Activo,Embajada
ETRIA,Embassy  in  Austria,AUT,REPUBLIC  OF  AUSTRIA,Viena,Activo,Embajada
ETRIN,Embassy  in  Trinidad  and  Tobago,TTO,REPUBLIC  OF  TRINIDAD  AND  TOBAGO,Port  of  Spain,Activo,Embajada
ETUNE,Embassy  in  Tunisia,TUN,TUNISIAN  REPUBLIC,Tunisia,Activo,Embajada
ETURQ,Embassy  in  Türkiye,TUR,REPUBLIC  OF  TÜRKIYE,Ankara,Activo,Embajada
EUCRA,Embassy  in  Ukraine,UKR,UKRAINE,Kiev,Activo,Embajada
EUNES,"Permanent  Delegation  to  the  United  Nations  Educational, Scientific  and  Cultural  Organization",FRA,FRENCH  REPUBLIC,Paris,Activo,Misión  Permanente 
EUNGR,Embassy  in  Hungary,HUN,HUNGARY,Budapest,Activo,Embajada
EURUG,Embassy  in  Uruguay,URY,REPUBLIC  OF  URUGUAY,Montevideo,Activo,Embajada
EVENE,Embassy  in  Venezuela,VEN,BOLIVARIAN  REPUBLIC  OF  VENEZUELA,Caracas,Activo,Embajada
EVIET,Embassy  in  Vietnam,VNM,SOCIALIST  REPUBLIC  OF  VIETNAM,Hanoi,Activo,Embajada
OCCAT,Argentine  Commercial  and  Cultural  Office  in  Taiwan,CHN,PEOPLE’S  REPUBLIC  OF  CHINA,Taiwan,Inactivo,Consulado
REPAL,Representation  Office  in  the  State  of  Palestine,PSE,STATE  OF  PALESTINE,Ramallah,Activo,Embajada
