sede_id,sede_desc_ingles,pais_iso_3,sede_tipo
CSLTO,Consulate  in  Salto,URY,Consulado
EMSUR,Permanent  Mission  for  MERCOSUR  and  ALADI,URY,Misión  Permanente
EURUG,Embassy  in  Uruguay,URY,Embajada
CATLA,Consulate  General  in  Atlanta,USA,Consulado
CCHIC,Consulate  General  in  Chicago,USA,Consulado
CHOUS,Consulate  General  in  Houston,USA,Consulado
CLANG,Consulate  General  and  Promotion  Center  in  Los  Angeles,USA,Consulado  General  y  Centro  de  Promoción
CMIAM,Consulate  General  and  Promotion  Center  in  Miami,USA,Consulado  General  y  Centro  de  Promoción
CNYOR,Consulate  General  and  Promotion  Center  in  New  York,USA,Consulado  General  y  Centro  de  Promoción
EEEUU,Embassy  in  United  States,USA,Embajada
EEOEA,Permanent  Mission  to  the  Organization  of  American  States,USA,Misión  Permanente
ENAUN,Permanent  Mission  to  the  United  Nations,USA,Misión  Permanente
EVIET,Embassy  in  Vietnam,VNM,Embajada
CJOHA,Consulate  General  in  Johannesburg,ZAF,Consulado
ESAFR,Embassy  in  South  Africa,ZAF,Embajada
