sede_id,sede_desc_castellano
ENIGE,Jefe  de  Cancillería
ENIGE,Sección  Administrativa
ENIGE,Sección  Consular  Embajada  Argentina  en  Nigeria
ENIGE,Sección  Económica  y  Comercial
ENIGE,Sección  Política
ENORU,Sección  Consular
ENORU,Sección  Cultural
ENORU,Sección  Económica  y  Comercial
ENZEL,Sección  Consular
ENZEL,Sección  Económica  y  Comercial
ENZEL,Sección  Política
EPAKI,Sección  Consular
EPAKI,Sección  Económica
EPBAJ,Rep.  Permanente  OPAQ
EPBAJ,Sección  Consular
EPBAJ,"Sección  Económica  y  Comercial, Prensa  y  Turismo."
EPBAJ,Sección  Política/Jurídica  
EPERU,Agregaduria  de  Defensa  y  Aeronáutica
EPERU,Jefe  de  Cancillería
EPERU,Sección  Administrativa
EPERU,"Sección  Cultural, Educación  y  Prensa"
EPERU,Sección  de  Cooperación  Judicial  y  Asuntos  de  Género
EPERU,Sección  Económica  y  Comercial  
EPERU,Sección  Política  
EPNMA,Agregada  Administrativa
EPNMA,Jefe  de  Cancillería
EPNMA,Sección  Consular
EPNMA,Sección  Económica  y  Comercial
EPOLO,Sección  Comercial
EPOLO,Sección  Consular  de  la  Embajada  de  la  República  Argentina  en  la  República  de  Polonia
EPOLO,Sección  Cultural
EPORT,Agregado  Administrativo
EPORT,JEFE  DE  CANCILLERIA
EPORT,JEFE  DE  SECCIÓN  CONSULAR
EPORT,JEFE  DE  SECCIÓN  CULTURAL
EPORT,JEFE  DE  SECCIÓN  ECONÓMICA  Y  COMERCIAL
EQATR,Jefe  de  Cancillería
EQATR,Seccion  Administrativa
EQATR,Sección  Comercial
EQATR,Sección  Consular
EQATR,Sección  Política
ERICA,Sección  Consular
ERICA,Sección  Económica  y  Comercial
ERUMA,Sección  Consular
ERUMA,Sección  Económica  y  Comercial
ERUNI,Administración
ERUNI,Administración
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea"
ERUNI,Económica  y  Comercial
ERUNI,Económica  y  Comercial
ERUNI,Protocolo
ERUNI,Sección  Cultural
ERUNI,"Sección  Económica, Comercial  y  Turismo"
ERUNI,Seccion  Politica
ERUNI,Sección  Política  y  Coordinación
ERUNI,Seccion  Prensa
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica"
ESAFR,Sección  Administrativa
ESAFR,"Sección  Cultural, Prensa  y  Diplomacia  Pública"
ESAFR,Sección  Económica  y  Comercial
ESALV,Administrativa  -  Contable
ESALV,Cultural
ESALV,Prensa
ESALV,Sección  Comercial  e  Inversiones
ESALV,Sección  Consular  
ESERB,Sección  Administrativa
ESERB,Sección  Consular
ESERB,"Sección  Cultural, Educación  y  Turismo"
ESERB,Sección  Económica  y  Comercial
ESING,Sección  Administrativa
ESING,Sección  Consular
ESING,"Sección  Económica, Comercial  y  de  Inversiones"
ESING,Sección  Política  y  Cultural
ESSED,Embajadora
ESSED,Jefa  de  Cancillería
ESSED,Jefa  de  Sección  Secretaría  y  Despacho
ESSED,"Sección  Administración, Economato, Contabilidad  e  Inventario"
ESSED,Sección  Cultura
ESSED,"Sección  Prensa, Redes  Sociales  y  Comunicación"
ESUEC,Sección  Consular
ESUEC,Sección  Cultural  y  de  Prensa
ESUEC,"Sección  Económica, Comercial  y  de  Promoción  de  Inversiones"
ESUEC,Sección  Política
ESUIZ,Jefe  de  Cancillería
ESUIZ,Sección  Consular
ESUIZ,Sección  Cultural
ESUIZ,"Sección  Económica, Comercial  y  de  Inversiones"
ESUIZ,Sección  Política
ESURI,Agregaduria  de  Defensa
ESURI,Sección  Administrativa
ESURI,Sección  Consular
ESURI,Sección  Cultural
ESURI,Sección  Económica  y  Comercial
ESURI,Sección  Política
ETAIL,Agregado  Administrativo
ETAIL,Jefe  de  Cancillería
ETAIL,Sección  Consular
ETAIL,Sección  Cultural
ETAIL,Sección  Económica  y  Comercial
ETAIL,Sección  Política
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)"
ETRIA,Asuntos  ONUAEE
ETRIA,Asuntos  ONUDD
ETRIA,Asuntos  ONUDI
ETRIA,Sección  Bilateral
ETRIA,Sección  Comercial
ETRIA,Sección  Consular
ETRIA,Sección  Cultural
ETRIA,Sección  de  Administración
ETRIA,Sección  de  Cooperación  Jurídica
ETRIA,Sección  de  DDHH  y  Género
ETRIN,Sección
ETUNE,Asuntos  Culturales  
ETUNE,Cooperación  Internacional
ETUNE,Jefe  de  Cancillería
ETUNE,Prensa
ETUNE,Sección  Consular
ETUNE,Sección  Económica  y  Comercial
ETUNE,Sección  Política
ETURQ,Agregada  para  Asuntos  Administrativos
ETURQ,Sección  Consular
ETURQ,Sección  Cultural
ETURQ,Sección  Económica  y  Comercial
EUCRA,Sección  Consular
EUCRA,Sección  Cultural
EUCRA,Sección  Económica  y  Comercial
EUCRA,Sección  Política
EUNGR,Jefe  de  Cancillería
EUNGR,Sección  Administrativa
EUNGR,Sección  Consular
EUNGR,Sección  Cultural
EUNGR,Sección  Política
EURUG,Jefe  de  Cancillería
EURUG,Sección  Comercial
EURUG,Sección  Cultural
EURUG,Sección  Política
EVENE,Sección  Administrativa
EVENE,Sección  Consular
EVENE,Sección  Cultural
EVENE,Sección  Económica  y  Comercial
EVENE,Sección  Política
EVIET,Sección  Consular
EVIET,"Sección  Económica, Comercial  y  de  Inversiones"
EVIET,Sección  Política  y  Cooperación
EVIET,Sección  Prensa  y  Cultura
,Sección  Económica  y  Comercial
